quarter,bar_count,strong_uptrend_count,strong_uptrend_pct,weak_uptrend_count,weak_uptrend_pct,strong_downtrend_count,strong_downtrend_pct,weak_downtrend_count,weak_downtrend_pct,choppy_count,choppy_pct,high_vol_choppy_count,high_vol_choppy_pct,compression_count,compression_pct,strong_trend_count,trend_regime_count,choppy_high_vol_count,strong_trend_pct,trend_regime_pct,choppy_high_vol_pct,avg_trend_score,avg_trend_efficiency,avg_abs_ema_spread_pct,avg_atr_pct,avg_adx_or_proxy
2023Q1,3150,222,0.07047619047619047,1255,0.3984126984126984,31,0.009841269841269842,267,0.08476190476190476,998,0.31682539682539684,356,0.11301587301587301,21,0.006666666666666667,253,1775,1354,0.08031746031746032,0.5634920634920635,0.42984126984126986,0.4169368271548706,0.15136733545847303,0.05991518574313867,0.05171227910487858,27.63189075579062
2023Q2,3185,62,0.01946624803767661,609,0.1912087912087912,47,0.014756671899529042,1029,0.3230769230769231,998,0.3133437990580848,361,0.11334379905808477,79,0.024803767660910518,109,1747,1359,0.03422291993720565,0.54850863422292,0.4266875981161695,0.39827699221682616,0.13691743899994646,0.04508038591440462,0.03332429653527894,25.692906174723074
2023Q3,3220,15,0.004658385093167702,723,0.22453416149068323,167,0.05186335403726708,765,0.2375776397515528,1064,0.33043478260869563,267,0.0829192546583851,219,0.06801242236024845,182,1670,1331,0.05652173913043478,0.5186335403726708,0.41335403726708075,0.40132239066505654,0.13186252787234093,0.04030333116928482,0.029177017389191106,27.38382602196605
2023Q4,3220,413,0.1282608695652174,1719,0.5338509316770186,8,0.002484472049689441,169,0.052484472049689444,647,0.20093167701863354,244,0.07577639751552795,20,0.006211180124223602,421,2309,891,0.13074534161490683,0.7170807453416149,0.27670807453416146,0.4712560005523391,0.18184170255528662,0.07772401958825534,0.033345090642096134,31.78461901794284
2024Q1,3185,270,0.0847723704866562,1488,0.4671899529042386,6,0.0018838304552590266,323,0.10141287284144428,672,0.210989010989011,355,0.11145996860282574,71,0.02229199372056515,276,2087,1027,0.08665620094191523,0.6552590266875982,0.3224489795918367,0.43901424508217396,0.15943488236140435,0.07871102448603652,0.04477913590858064,28.08230256662429
2024Q2,3185,51,0.016012558869701727,644,0.2021978021978022,13,0.004081632653061225,1060,0.3328100470957614,1082,0.33971742543171113,314,0.09858712715855573,21,0.006593406593406593,64,1768,1396,0.020094191522762952,0.5551020408163265,0.43830455259026685,0.42497822577385697,0.12256947218802895,0.06684298217035414,0.04208813308024897,28.02103920890743
2024Q3,3220,67,0.020807453416149067,387,0.12018633540372671,50,0.015527950310559006,1273,0.3953416149068323,1129,0.35062111801242235,292,0.0906832298136646,22,0.0068322981366459624,117,1777,1421,0.03633540372670808,0.551863354037267,0.44130434782608696,0.4366499249469933,0.1448037161742136,0.05674362138701459,0.03832246883877519,30.191218072687995
2024Q4,3220,197,0.061180124223602486,1454,0.4515527950310559,0,0.0,288,0.08944099378881988,775,0.2406832298136646,483,0.15,23,0.007142857142857143,197,1939,1258,0.061180124223602486,0.6021739130434782,0.3906832298136646,0.44031489661009426,0.15465749654804345,0.0776223775219147,0.0560953241885981,30.98761593298764
2025Q1,3150,3,0.0009523809523809524,336,0.10666666666666667,42,0.013333333333333334,1545,0.49047619047619045,807,0.2561904761904762,363,0.11523809523809524,54,0.017142857142857144,45,1926,1170,0.014285714285714285,0.6114285714285714,0.37142857142857144,0.4251607139189351,0.12416774891162305,0.08806369169270552,0.0875693922803803,26.89914136234969
2025Q2,3185,82,0.025745682888540032,825,0.25902668759811615,4,0.0012558869701726845,923,0.2897959183673469,1013,0.31805337519623234,299,0.09387755102040816,39,0.012244897959183673,86,1834,1312,0.027001569858712715,0.5758241758241758,0.4119309262166405,0.42490239331464696,0.1318059562621524,0.0666698185147911,0.06672352381489001,25.97971354534503
2025Q3,3220,108,0.03354037267080745,1447,0.44937888198757764,5,0.0015527950310559005,257,0.07981366459627329,1009,0.3133540372670807,294,0.09130434782608696,100,0.031055900621118012,113,1817,1303,0.035093167701863354,0.5642857142857143,0.4046583850931677,0.4166623177334376,0.14492742335088968,0.054006741561278264,0.04676879202274048,28.389073203720248
2025Q4,3220,32,0.009937888198757764,140,0.043478260869565216,11,0.0034161490683229812,1972,0.6124223602484472,719,0.2232919254658385,336,0.10434782608695652,10,0.003105590062111801,43,2155,1055,0.013354037267080746,0.6692546583850931,0.327639751552795,0.42134495248957654,0.1278467206859563,0.07495745331097982,0.04714961275741542,24.85308215594595
2026Q1,3150,1,0.00031746031746031746,195,0.06190476190476191,81,0.025714285714285714,1672,0.5307936507936508,850,0.2698412698412698,336,0.10666666666666667,15,0.004761904761904762,82,1949,1186,0.02603174603174603,0.6187301587301587,0.3765079365079365,0.432575529886952,0.13405630642727012,0.0943379520960782,0.04975844256214409,30.27671165003141
